experiment,added_feature,rmse,r2,delta_rmse_previous,delta_r2_previous,delta_rmse_baseline,delta_r2_baseline,keep,numeric_features,categorical_features
A_baseline,existing large-data features,0.5103905472370495,0.5929943613183835,0.0,0.0,0.0,0.0,True,"log_distance,distance_km,lat_diff,lon_diff,hour,dayofweek,month,dayofyear","vendor_id,store_and_fwd_flag,passenger_count,same_location,pickup_cluster,dropoff_cluster"
A_clean_clusters,NYC-only training coordinates for KMeans,0.5031277672579876,0.6044952041861249,-0.007262779979061884,0.011500842867741445,-0.007262779979061884,0.011500842867741445,True,"log_distance,distance_km,lat_diff,lon_diff,hour,dayofweek,month,dayofyear","vendor_id,store_and_fwd_flag,passenger_count,same_location,pickup_cluster,dropoff_cluster"
B_manhattan,manhattan_km,0.503200577257881,0.6043807251624301,7.280999989345283e-05,-0.00011447902369476903,-0.007189969979168431,0.011386363844046676,False,"log_distance,distance_km,lat_diff,lon_diff,hour,dayofweek,month,dayofyear,manhattan_km","vendor_id,store_and_fwd_flag,passenger_count,same_location,pickup_cluster,dropoff_cluster"
C_bearing,"bearing_sin,bearing_cos",0.5028051384185741,0.6050022735614956,-0.00032262883941347464,0.0005070693753707056,-0.007585408818475359,0.012007912243112151,True,"log_distance,distance_km,lat_diff,lon_diff,hour,dayofweek,month,dayofyear,bearing_sin,bearing_cos","vendor_id,store_and_fwd_flag,passenger_count,same_location,pickup_cluster,dropoff_cluster"
D_airports,"pickup_near_jfk,pickup_near_lga,pickup_near_ewr,dropoff_near_jfk,dropoff_near_lga,dropoff_near_ewr",0.5018769231112428,0.6064593171878411,-0.0009282153073313371,0.0014570436263454667,-0.008513624125806696,0.013464955869457618,True,"log_distance,distance_km,lat_diff,lon_diff,hour,dayofweek,month,dayofyear,bearing_sin,bearing_cos","vendor_id,store_and_fwd_flag,passenger_count,same_location,pickup_cluster,dropoff_cluster,pickup_near_jfk,pickup_near_lga,pickup_near_ewr,dropoff_near_jfk,dropoff_near_lga,dropoff_near_ewr"
E_rush,"morning_rush,evening_rush",0.4983133130286036,0.6120281986145863,-0.003563610082639168,0.005568881426745276,-0.012077234208445864,0.019033837296202893,True,"log_distance,distance_km,lat_diff,lon_diff,hour,dayofweek,month,dayofyear,bearing_sin,bearing_cos","vendor_id,store_and_fwd_flag,passenger_count,same_location,pickup_cluster,dropoff_cluster,pickup_near_jfk,pickup_near_lga,pickup_near_ewr,dropoff_near_jfk,dropoff_near_lga,dropoff_near_ewr,morning_rush,evening_rush"
F_weekend,is_weekend,0.4969885041398327,0.6140883693396986,-0.0013248088887709009,0.0020601707251122203,-0.013402043097216765,0.021094008021315114,True,"log_distance,distance_km,lat_diff,lon_diff,hour,dayofweek,month,dayofyear,bearing_sin,bearing_cos","vendor_id,store_and_fwd_flag,passenger_count,same_location,pickup_cluster,dropoff_cluster,pickup_near_jfk,pickup_near_lga,pickup_near_ewr,dropoff_near_jfk,dropoff_near_lga,dropoff_near_ewr,morning_rush,evening_rush,is_weekend"
G_route,route_cluster,0.4951872691565308,0.6168806185241916,-0.0018012349833019248,0.0027922491844930564,-0.01520327808051869,0.02388625720580817,True,"log_distance,distance_km,lat_diff,lon_diff,hour,dayofweek,month,dayofyear,bearing_sin,bearing_cos","vendor_id,store_and_fwd_flag,passenger_count,same_location,pickup_cluster,dropoff_cluster,pickup_near_jfk,pickup_near_lga,pickup_near_ewr,dropoff_near_jfk,dropoff_near_lga,dropoff_near_ewr,morning_rush,evening_rush,is_weekend,route_cluster"
